>>>DATA LIST FOR: SCORED_POSTS_AQ (A)_201349194152470.xml
ye1.org, AQAA Military Engagement, عصفور النار, الفجر الجدديد, 1
ye1.org,AQ Ideology,Closeness Centrality,نقار الخشب,0.268199233716
ye1.org,AQ Ideology,Closeness Centrality,متابع اعلامي,0.361256544503
ye1.org,AQ Ideology,Closeness Centrality,زنجبار تنزف,0.327014218009
ye1.org,AQ Ideology,Closeness Centrality,أبوالبراء79,0.289915966387
ye1.org,AQ Ideology,Closeness Centrality,أبوعارف,0.0
ye1.org,AQ Ideology,Closeness Centrality,الركن اليماني,0.27380952381
ye1.org,AQ Ideology,Closeness Centrality,أبو الليل,0.194444444444
ye1.org,AQ Ideology,Closeness Centrality,صاروخي,0.213414634146
ye1.org,AQ Ideology,Closeness Centrality,ياسمين المسلمة,0.321266968326
ye1.org,AQ Ideology,Closeness Centrality,محمد العباسى,0.353846153846
ye1.org,AQ Ideology,Closeness Centrality,الجلنبط,0.221864951768
ye1.org,AQ Ideology,Closeness Centrality,وليد عبد الودود,0.333333333333
ye1.org,AQ Ideology,Closeness Centrality,ابوالعهد,1.0
ye1.org,AQ Ideology,Closeness Centrality,الرجوع الى الحق,0.30701754386
ye1.org,AQ Ideology,Closeness Centrality,الأطلنطي,1.0
ye1.org,AQ Ideology,Closeness Centrality,اليمن تاج راسي,0.0
ye1.org,AQ Ideology,Closeness Centrality,أبو طلحه,0.5
ye1.org,AQ Ideology,Closeness Centrality,الآمر بالمعروف,0.0
ye1.org,AQ Ideology,Closeness Centrality,hero7,1.0
ye1.org,AQ Ideology,Closeness Centrality,أمـير أبو بكر,0.315068493151
ye1.org,AQ Ideology,Closeness Centrality,مملكه سباء,0.365079365079
ye1.org,AQ Ideology,Closeness Centrality,يحي الجبر,0.237931034483
ye1.org,AQ Ideology,Closeness Centrality,حسن الأسد,0.247349823322
ye1.org,AQ Ideology,Closeness Centrality,أبـو علياء,0.348039215686
ye1.org,AQ Ideology,Closeness Centrality,ramzi alkadasi,0.133079847909
ye1.org,AQ Ideology,Closeness Centrality,رمز العروبة,0.239726027397
ye1.org,AQ Ideology,Closeness Centrality,النمر بن عدوان,0.240418118467
ye1.org,AQ Ideology,Closeness Centrality,رمضان16,0.227272727273
ye1.org,AQ Ideology,Closeness Centrality,الحق ظاهر,0.0
ye1.org,AQ Ideology,Closeness Centrality,أبو صدام44,0.0
ye1.org,AQ Ideology,Closeness Centrality,زهيرسالم,0.280487804878
ye1.org,AQ Ideology,Closeness Centrality,ربـــش,0.316513761468
ye1.org,AQ Ideology,Closeness Centrality,يماني في الغربه,0.221864951768
ye1.org,AQ Ideology,Closeness Centrality,عالي المقام,0.0
ye1.org,AQ Ideology,Closeness Centrality,أبوجعفر,0.328571428571
ye1.org,AQ Ideology,Closeness Centrality,الذئب الجريح,0.0
ye1.org,AQ Ideology,Closeness Centrality,إبن الهيثم,1.0
ye1.org,AQ Ideology,Closeness Centrality,فتى أبين,0.214285714286
ye1.org,AQ Ideology,Closeness Centrality,خالد الهاجري,0.260869565217
ye1.org,AQ Ideology,Closeness Centrality,الليل والنهار,0.0
ye1.org,AQ Ideology,Closeness Centrality,الواحدي شبواني,0.325471698113
ye1.org,AQ Ideology,Closeness Centrality,مجدي الرويشد,0.359375
ye1.org,AQ Ideology,Closeness Centrality,اليماني القحطان,0.222580645161
ye1.org,AQ Ideology,Closeness Centrality,ليال92,0.266409266409
ye1.org,AQ Ideology,Closeness Centrality,keelo,0.0
ye1.org,AQ Ideology,Closeness Centrality,بديعة,0.310810810811
ye1.org,AQ Ideology,Closeness Centrality,صادق حسن,0.316513761468
ye1.org,AQ Ideology,Closeness Centrality,Microscope,0.328571428571
ye1.org,AQ Ideology,Closeness Centrality,أبو نافع,0.313636363636
ye1.org,AQ Ideology,Closeness Centrality,اسماعيل السلفي,0.196078431373
ye1.org,AQ Ideology,Closeness Centrality,راعي الجدعى,0.219435736677
ye1.org,AQ Ideology,Closeness Centrality,عبد العظيم,0.30701754386
ye1.org,AQ Ideology,Closeness Centrality,صارم الحق,0.248226950355
ye1.org,AQ Ideology,Closeness Centrality,أبو هارون منصور,0.0
ye1.org,AQ Ideology,Closeness Centrality,أختكم في الله,1.0
ye1.org,AQ Ideology,Closeness Centrality,المـرادي,0.0
ye1.org,AQ Ideology,Closeness Centrality,منصور عبد ربه,0.222929936306
ye1.org,AQ Ideology,Closeness Centrality,أريد أن أفهم,0.177835051546
ye1.org,AQ Ideology,Closeness Centrality,ارحل الان,1.0
ye1.org,AQ Ideology,Closeness Centrality,بلاحدود.,0.220125786164
ye1.org,AQ Ideology,Closeness Centrality,ابو هزبر,0.0
ye1.org,AQ Ideology,Closeness Centrality,ابوخالد عبدالله,0.0
ye1.org,AQ Ideology,Closeness Centrality,المؤمن الصادق,0.308035714286
ye1.org,AQ Ideology,Closeness Centrality,الريد,0.195467422096
ye1.org,AQ Ideology,Closeness Centrality,جلال الأربعيني,0.197771587744
ye1.org,AQ Ideology,Closeness Centrality,almanhali,0.30701754386
ye1.org,AQ Ideology,Closeness Centrality,بنت حفصة,0.23875432526
ye1.org,AQ Ideology,Closeness Centrality,شيخ المشايخ,0.277108433735
ye1.org,AQ Ideology,Closeness Centrality,ابن الديرة,0.313636363636
ye1.org,AQ Ideology,Closeness Centrality,جابر الحارثي,0.225080385852
ye1.org,AQ Ideology,Closeness Centrality,بنت الإسلام,0.0
ye1.org,AQ Ideology,Closeness Centrality,وحي القلم,0.212765957447
ye1.org,AQ Ideology,Closeness Centrality,ابومرام,0.16548463357
ye1.org,AQ Ideology,Closeness Centrality,الخبجي99,0.0
ye1.org,AQ Ideology,Closeness Centrality,هلول,0.305309734513
ye1.org,AQ Ideology,Closeness Centrality,هلل,0.0
ye1.org,AQ Ideology,Closeness Centrality,عبد الرحمن الزر,0.279352226721
ye1.org,AQ Ideology,Closeness Centrality,gamel,0.267441860465
ye1.org,AQ Ideology,Closeness Centrality,طارق الحميري,0.25
ye1.org,AQ Ideology,Closeness Centrality,الزهراء الزهراء,0.666666666667
ye1.org,AQ Ideology,Closeness Centrality,حفيد البخاري,0.276679841897
ye1.org,AQ Ideology,Closeness Centrality,ابوبسام اليمني,0.167053364269
ye1.org,AQ Ideology,Closeness Centrality,رشاد العولقي,0.254612546125
ye1.org,AQ Ideology,Closeness Centrality,جلال بن فريد,0.151315789474
ye1.org,AQ Ideology,Closeness Centrality,هاشم السلفي,0.308035714286
ye1.org,AQ Ideology,Closeness Centrality,رجال الوايلي,0.436708860759
ye1.org,AQ Ideology,Closeness Centrality,محارب الفتن,0.281632653061
ye1.org,AQ Ideology,Closeness Centrality,محب الله1,0.336538461538
ye1.org,AQ Ideology,Closeness Centrality,الفجر الجدديد,0.286307053942
ye1.org,AQ Ideology,Closeness Centrality,حق العودة,0.25
ye1.org,AQ Ideology,Closeness Centrality,نور الدين زنكي,0.320930232558
ye1.org,AQ Ideology,Closeness Centrality,بنت اليمن22,0.31797235023
ye1.org,AQ Ideology,Closeness Centrality,رشيماء,0.248201438849
ye1.org,AQ Ideology,Closeness Centrality,حصن شبوة,0.248201438849
ye1.org,AQ Ideology,Closeness Centrality,علي ابن المشطط,0.0
ye1.org,AQ Ideology,Closeness Centrality,ناصر البنا,0.0
ye1.org,AQ Ideology,Closeness Centrality,نصيرة الحق,0.220125786164
ye1.org,AQ Ideology,Closeness Centrality,ابو اسامه العوذلي,0.21835443038
ye1.org,AQ Ideology,Closeness Centrality,هرماس,0.0
ye1.org,AQ Ideology,Closeness Centrality,الظاهري ,0.0
ye1.org,AQ Ideology,Closeness Centrality,رياح الصحراء,1.0
ye1.org,AQ Ideology,Closeness Centrality,كاشف الحقيقة,0.0
ye1.org,AQ Ideology,Closeness Centrality,غريب في ارضه,0.0
ye1.org,AQ Ideology,Closeness Centrality,مسلم 7,0.305309734513
ye1.org,AQ Ideology,Closeness Centrality,ابن الرياشي,0.278225806452
ye1.org,AQ Ideology,Closeness Centrality,المعلم1,0.276923076923
ye1.org,AQ Ideology,Closeness Centrality,عبدالرزاق الجمل,0.0
ye1.org,AQ Ideology,Betweenness Centrality,فيصل العبيدي,0.0
ye1.org,AQ Ideology,Betweenness Centrality,حمد اليمني,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابن سيناءء,281.731601732
ye1.org,AQ Ideology,Betweenness Centrality,الحلموسي,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابن حرب,69.0
ye1.org,AQ Ideology,Betweenness Centrality,Nutcracker,0.0
ye1.org,AQ Ideology,Betweenness Centrality,طلال القبـاطي,70.0
ye1.org,AQ Ideology,Betweenness Centrality,الحقيقة مرة,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أبو شديد,0.0
ye1.org,AQ Ideology,Betweenness Centrality,نقار الخشب,0.0
ye1.org,AQ Ideology,Betweenness Centrality,متابع اعلامي,1604.59333444
ye1.org,AQ Ideology,Betweenness Centrality,زنجبار تنزف,73.4198412698
ye1.org,AQ Ideology,Betweenness Centrality,أبوالبراء79,439.55
ye1.org,AQ Ideology,Betweenness Centrality,أبوعارف,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الركن اليماني,202.527167277
ye1.org,AQ Ideology,Betweenness Centrality,أبو الليل,0.0
ye1.org,AQ Ideology,Betweenness Centrality,صاروخي,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ياسمين المسلمة,0.0
ye1.org,AQ Ideology,Betweenness Centrality,محمد العباسى,625.272727273
ye1.org,AQ Ideology,Betweenness Centrality,الجلنبط,234.0
ye1.org,AQ Ideology,Betweenness Centrality,وليد عبد الودود,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابوالعهد,80.0
ye1.org,AQ Ideology,Betweenness Centrality,الرجوع الى الحق,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الأطلنطي,0.0
ye1.org,AQ Ideology,Betweenness Centrality,اليمن تاج راسي,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أبو طلحه,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الآمر بالمعروف,0.0
ye1.org,AQ Ideology,Betweenness Centrality,hero7,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أمـير أبو بكر,0.0
ye1.org,AQ Ideology,Betweenness Centrality,مملكه سباء,943.306876457
ye1.org,AQ Ideology,Betweenness Centrality,يحي الجبر,145.0
ye1.org,AQ Ideology,Betweenness Centrality,حسن الأسد,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أبـو علياء,142.0
ye1.org,AQ Ideology,Betweenness Centrality,ramzi alkadasi,0.0
ye1.org,AQ Ideology,Betweenness Centrality,رمز العروبة,0.0
ye1.org,AQ Ideology,Betweenness Centrality,النمر بن عدوان,411.714285714
ye1.org,AQ Ideology,Betweenness Centrality,رمضان16,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الحق ظاهر,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أبو صدام44,0.0
ye1.org,AQ Ideology,Betweenness Centrality,زهيرسالم,224.0
ye1.org,AQ Ideology,Betweenness Centrality,ربـــش,593.158802309
ye1.org,AQ Ideology,Betweenness Centrality,يماني في الغربه,16.5333333333
ye1.org,AQ Ideology,Betweenness Centrality,عالي المقام,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أبوجعفر,498.841774892
ye1.org,AQ Ideology,Betweenness Centrality,الذئب الجريح,0.0
ye1.org,AQ Ideology,Betweenness Centrality,إبن الهيثم,0.0
ye1.org,AQ Ideology,Betweenness Centrality,فتى أبين,243.933333333
ye1.org,AQ Ideology,Betweenness Centrality,خالد الهاجري,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الليل والنهار,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الواحدي شبواني,764.087362637
ye1.org,AQ Ideology,Betweenness Centrality,مجدي الرويشد,520.8
ye1.org,AQ Ideology,Betweenness Centrality,اليماني القحطان,15.0
ye1.org,AQ Ideology,Betweenness Centrality,ليال92,0.0
ye1.org,AQ Ideology,Betweenness Centrality,keelo,0.0
ye1.org,AQ Ideology,Betweenness Centrality,بديعة,205.0
ye1.org,AQ Ideology,Betweenness Centrality,صادق حسن,26.5015151515
ye1.org,AQ Ideology,Betweenness Centrality,Microscope,155.722727273
ye1.org,AQ Ideology,Betweenness Centrality,أبو نافع,107.447619048
ye1.org,AQ Ideology,Betweenness Centrality,اسماعيل السلفي,0.0
ye1.org,AQ Ideology,Betweenness Centrality,راعي الجدعى,0.0
ye1.org,AQ Ideology,Betweenness Centrality,عبد العظيم,0.0
ye1.org,AQ Ideology,Betweenness Centrality,صارم الحق,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أبو هارون منصور,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أختكم في الله,81.0
ye1.org,AQ Ideology,Betweenness Centrality,المـرادي,0.0
ye1.org,AQ Ideology,Betweenness Centrality,منصور عبد ربه,0.0
ye1.org,AQ Ideology,Betweenness Centrality,أريد أن أفهم,146.433333333
ye1.org,AQ Ideology,Betweenness Centrality,ارحل الان,0.0
ye1.org,AQ Ideology,Betweenness Centrality,بلاحدود.,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابو هزبر,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابوخالد عبدالله,0.0
ye1.org,AQ Ideology,Betweenness Centrality,المؤمن الصادق,79.0
ye1.org,AQ Ideology,Betweenness Centrality,الريد,78.6666666667
ye1.org,AQ Ideology,Betweenness Centrality,جلال الأربعيني,74.5
ye1.org,AQ Ideology,Betweenness Centrality,almanhali,0.0
ye1.org,AQ Ideology,Betweenness Centrality,بنت حفصة,1.0
ye1.org,AQ Ideology,Betweenness Centrality,شيخ المشايخ,279.549389499
ye1.org,AQ Ideology,Betweenness Centrality,ابن الديرة,599.559335109
ye1.org,AQ Ideology,Betweenness Centrality,جابر الحارثي,0.0
ye1.org,AQ Ideology,Betweenness Centrality,بنت الإسلام,0.0
ye1.org,AQ Ideology,Betweenness Centrality,وحي القلم,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابومرام,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الخبجي99,0.0
ye1.org,AQ Ideology,Betweenness Centrality,هلول,0.0
ye1.org,AQ Ideology,Betweenness Centrality,هلل,0.0
ye1.org,AQ Ideology,Betweenness Centrality,عبد الرحمن الزر,206.877977578
ye1.org,AQ Ideology,Betweenness Centrality,gamel,773.171794872
ye1.org,AQ Ideology,Betweenness Centrality,طارق الحميري,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الزهراء الزهراء,161.0
ye1.org,AQ Ideology,Betweenness Centrality,حفيد البخاري,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابوبسام اليمني,0.0
ye1.org,AQ Ideology,Betweenness Centrality,رشاد العولقي,361.928571429
ye1.org,AQ Ideology,Betweenness Centrality,جلال بن فريد,111.916666667
ye1.org,AQ Ideology,Betweenness Centrality,هاشم السلفي,111.617071817
ye1.org,AQ Ideology,Betweenness Centrality,رجال الوايلي,2786.81538462
ye1.org,AQ Ideology,Betweenness Centrality,محارب الفتن,157.0
ye1.org,AQ Ideology,Betweenness Centrality,محب الله1,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الفجر الجدديد,129.261904762
ye1.org,AQ Ideology,Betweenness Centrality,حق العودة,0.0
ye1.org,AQ Ideology,Betweenness Centrality,نور الدين زنكي,141.173809524
ye1.org,AQ Ideology,Betweenness Centrality,بنت اليمن22,95.0
ye1.org,AQ Ideology,Betweenness Centrality,رشيماء,238.57987013
ye1.org,AQ Ideology,Betweenness Centrality,حصن شبوة,0.0
ye1.org,AQ Ideology,Betweenness Centrality,علي ابن المشطط,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ناصر البنا,0.0
ye1.org,AQ Ideology,Betweenness Centrality,نصيرة الحق,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابو اسامه العوذلي,192.153357753
ye1.org,AQ Ideology,Betweenness Centrality,هرماس,0.0
ye1.org,AQ Ideology,Betweenness Centrality,الظاهري ,0.0
ye1.org,AQ Ideology,Betweenness Centrality,رياح الصحراء,0.0
ye1.org,AQ Ideology,Betweenness Centrality,كاشف الحقيقة,0.0
ye1.org,AQ Ideology,Betweenness Centrality,غريب في ارضه,0.0
ye1.org,AQ Ideology,Betweenness Centrality,مسلم 7,0.0
ye1.org,AQ Ideology,Betweenness Centrality,ابن الرياشي,806.652564103
ye1.org,AQ Ideology,Betweenness Centrality,المعلم1,0.0
ye1.org,AQ Ideology,Betweenness Centrality,عبدالرزاق الجمل,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,فيصل العبيدي,0.00365916487231
ye1.org,AQ Ideology,Eigenvector Centrality,هرماس,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,حمد اليمني,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,أبـو علياء,0.125838862082
ye1.org,AQ Ideology,Eigenvector Centrality,ramzi alkadasi,0.000180223463215
ye1.org,AQ Ideology,Eigenvector Centrality,الحلموسي,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,حسن الأسد,0.0406794812896
ye1.org,AQ Ideology,Eigenvector Centrality,ابن حرب,0.0522355274437
ye1.org,AQ Ideology,Eigenvector Centrality,أبوالبراء79,0.0733168520498
ye1.org,AQ Ideology,Eigenvector Centrality,Nutcracker,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,رشاد العولقي,0.0365313735317
ye1.org,AQ Ideology,Eigenvector Centrality,جلال بن فريد,0.000806677088235
ye1.org,AQ Ideology,Eigenvector Centrality,رمضان16,0.0163797983802
ye1.org,AQ Ideology,Eigenvector Centrality,طلال القبـاطي,0.0163797983802
ye1.org,AQ Ideology,Eigenvector Centrality,أبو صدام44,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,بنت الإسلام,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,زهيرسالم,0.0522355274437
ye1.org,AQ Ideology,Eigenvector Centrality,بلاحدود.,0.0130306547192
ye1.org,AQ Ideology,Eigenvector Centrality,ابو هزبر,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,رجال الوايلي,0.498145526929
ye1.org,AQ Ideology,Eigenvector Centrality,شيخ المشايخ,0.0575115878428
ye1.org,AQ Ideology,Eigenvector Centrality,محارب الفتن,0.0331876702988
ye1.org,AQ Ideology,Eigenvector Centrality,الحقيقة مرة,0.0281125467256
ye1.org,AQ Ideology,Eigenvector Centrality,أبو شديد,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,الأطلنطي,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,الظاهري ,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,ابن سيناءء,0.0296584610928
ye1.org,AQ Ideology,Eigenvector Centrality,متابع اعلامي,0.233810348645
ye1.org,AQ Ideology,Eigenvector Centrality,ابوخالد عبدالله,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,يماني في الغربه,0.0130306547192
ye1.org,AQ Ideology,Eigenvector Centrality,ارحل الان,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,هاشم السلفي,0.111289523294
ye1.org,AQ Ideology,Eigenvector Centrality,أبوجعفر,0.163525050738
ye1.org,AQ Ideology,Eigenvector Centrality,اليمن تاج راسي,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,المؤمن الصادق,0.111289523294
ye1.org,AQ Ideology,Eigenvector Centrality,رمز العروبة,0.0261681211527
ye1.org,AQ Ideology,Eigenvector Centrality,الذئب الجريح,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,إبن الهيثم,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,الريد,0.00662607838504
ye1.org,AQ Ideology,Eigenvector Centrality,فتى أبين,0.0153560158759
ye1.org,AQ Ideology,Eigenvector Centrality,عبدالرزاق الجمل,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,جلال الأربعيني,0.00662607838504
ye1.org,AQ Ideology,Eigenvector Centrality,أبوعارف,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,الخبجي99,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,الليل والنهار,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,الركن اليماني,0.0681550462592
ye1.org,AQ Ideology,Eigenvector Centrality,الفجر الجدديد,0.0652661821629
ye1.org,AQ Ideology,Eigenvector Centrality,gamel,0.0651259475091
ye1.org,AQ Ideology,Eigenvector Centrality,almanhali,0.111289523294
ye1.org,AQ Ideology,Eigenvector Centrality,صاروخي,0.0145493387876
ye1.org,AQ Ideology,Eigenvector Centrality,ياسمين المسلمة,0.179989596481
ye1.org,AQ Ideology,Eigenvector Centrality,نقار الخشب,0.0522355274437
ye1.org,AQ Ideology,Eigenvector Centrality,اليماني القحطان,0.0130306547192
ye1.org,AQ Ideology,Eigenvector Centrality,النمر بن عدوان,0.0236166576763
ye1.org,AQ Ideology,Eigenvector Centrality,الواحدي شبواني,0.103375303559
ye1.org,AQ Ideology,Eigenvector Centrality,عبد الرحمن الزر,0.066443939611
ye1.org,AQ Ideology,Eigenvector Centrality,اسماعيل السلفي,0.00527606039902
ye1.org,AQ Ideology,Eigenvector Centrality,حفيد البخاري,0.134121486604
ye1.org,AQ Ideology,Eigenvector Centrality,بنت اليمن22,0.182090855157
ye1.org,AQ Ideology,Eigenvector Centrality,بنت حفصة,0.024862101678
ye1.org,AQ Ideology,Eigenvector Centrality,أريد أن أفهم,0.00361089197406
ye1.org,AQ Ideology,Eigenvector Centrality,عالي المقام,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,مملكه سباء,0.164660779512
ye1.org,AQ Ideology,Eigenvector Centrality,نور الدين زنكي,0.20032687845
ye1.org,AQ Ideology,Eigenvector Centrality,رشيماء,0.060075038952
ye1.org,AQ Ideology,Eigenvector Centrality,مجدي الرويشد,0.13552396578
ye1.org,AQ Ideology,Eigenvector Centrality,ليال92,0.0522355274437
ye1.org,AQ Ideology,Eigenvector Centrality,وليد عبد الودود,0.274814574032
ye1.org,AQ Ideology,Eigenvector Centrality,الحق ظاهر,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,جابر الحارثي,0.0161219050878
ye1.org,AQ Ideology,Eigenvector Centrality,محب الله1,0.141647432455
ye1.org,AQ Ideology,Eigenvector Centrality,ابوالعهد,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,Microscope,0.163525050738
ye1.org,AQ Ideology,Eigenvector Centrality,ناصر البنا,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,طارق الحميري,0.0365313735317
ye1.org,AQ Ideology,Eigenvector Centrality,خالد الهاجري,0.0281125467256
ye1.org,AQ Ideology,Eigenvector Centrality,ربـــش,0.135888172271
ye1.org,AQ Ideology,Eigenvector Centrality,الرجوع الى الحق,0.111289523294
ye1.org,AQ Ideology,Eigenvector Centrality,نصيرة الحق,0.0130306547192
ye1.org,AQ Ideology,Eigenvector Centrality,أبو نافع,0.124710916944
ye1.org,AQ Ideology,Eigenvector Centrality,ابو اسامه العوذلي,0.0130306547192
ye1.org,AQ Ideology,Eigenvector Centrality,وحي القلم,0.0116692718537
ye1.org,AQ Ideology,Eigenvector Centrality,أبو الليل,0.00584626814101
ye1.org,AQ Ideology,Eigenvector Centrality,منصور عبد ربه,0.014844296933
ye1.org,AQ Ideology,Eigenvector Centrality,أبو طلحه,7.42480509488e-20
ye1.org,AQ Ideology,Eigenvector Centrality,بديعة,0.117135791435
ye1.org,AQ Ideology,Eigenvector Centrality,الآمر بالمعروف,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,ابن الديرة,0.132759898612
ye1.org,AQ Ideology,Eigenvector Centrality,راعي الجدعى,0.012847974193
ye1.org,AQ Ideology,Eigenvector Centrality,عبد العظيم,0.111289523294
ye1.org,AQ Ideology,Eigenvector Centrality,ابومرام,0.00148021467203
ye1.org,AQ Ideology,Eigenvector Centrality,صادق حسن,0.104063811923
ye1.org,AQ Ideology,Eigenvector Centrality,زنجبار تنزف,0.120237388217
ye1.org,AQ Ideology,Eigenvector Centrality,رياح الصحراء,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,كاشف الحقيقة,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,صارم الحق,0.0303579091609
ye1.org,AQ Ideology,Eigenvector Centrality,مسلم 7,0.111289523294
ye1.org,AQ Ideology,Eigenvector Centrality,حق العودة,0.0365313735317
ye1.org,AQ Ideology,Eigenvector Centrality,ابوبسام اليمني,0.00148021467203
ye1.org,AQ Ideology,Eigenvector Centrality,الجلنبط,0.0116692718537
ye1.org,AQ Ideology,Eigenvector Centrality,محمد العباسى,0.28726165499
ye1.org,AQ Ideology,Eigenvector Centrality,هلول,0.111289523294
ye1.org,AQ Ideology,Eigenvector Centrality,hero7,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,ابن الرياشي,0.0583262788763
ye1.org,AQ Ideology,Eigenvector Centrality,هلل,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,أمـير أبو بكر,0.175464776772
ye1.org,AQ Ideology,Eigenvector Centrality,أبو هارون منصور,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,أختكم في الله,7.42480509488e-20
ye1.org,AQ Ideology,Eigenvector Centrality,علي ابن المشطط,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,المـرادي,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,الزهراء الزهراء,1.48496101898e-19
ye1.org,AQ Ideology,Eigenvector Centrality,حصن شبوة,0.0230946128249
ye1.org,AQ Ideology,Eigenvector Centrality,يحي الجبر,0.0261681211527
ye1.org,AQ Ideology,Eigenvector Centrality,المعلم1,0.0382656931902
ye1.org,AQ Ideology,Eigenvector Centrality,keelo,0.0
ye1.org,AQ Ideology,Eigenvector Centrality,غريب في ارضه,0.0
ye1.org,AQ Ideology,Pagerank,فيصل العبيدي,0.00239228743576
ye1.org,AQ Ideology,Pagerank,حمد اليمني,0.00340900959552
ye1.org,AQ Ideology,Pagerank,ابن سيناءء,0.0216133165711
ye1.org,AQ Ideology,Pagerank,الحلموسي,0.0058962717887
ye1.org,AQ Ideology,Pagerank,ابن حرب,0.0100180262637
ye1.org,AQ Ideology,Pagerank,Nutcracker,0.00239228743576
ye1.org,AQ Ideology,Pagerank,طلال القبـاطي,0.00442573175527
ye1.org,AQ Ideology,Pagerank,الحقيقة مرة,0.00239228743576
ye1.org,AQ Ideology,Pagerank,أبو شديد,0.00630666775233
ye1.org,AQ Ideology,Pagerank,نقار الخشب,0.00239228743576
ye1.org,AQ Ideology,Pagerank,متابع اعلامي,0.0657916999967
ye1.org,AQ Ideology,Pagerank,زنجبار تنزف,0.00391949152149
ye1.org,AQ Ideology,Pagerank,أبوالبراء79,0.0145548079411
ye1.org,AQ Ideology,Pagerank,أبوعارف,0.0131157077509
ye1.org,AQ Ideology,Pagerank,الركن اليماني,0.00575619386308
ye1.org,AQ Ideology,Pagerank,أبو الليل,0.00239228743576
ye1.org,AQ Ideology,Pagerank,صاروخي,0.00239228743576
ye1.org,AQ Ideology,Pagerank,ياسمين المسلمة,0.00239228743576
ye1.org,AQ Ideology,Pagerank,محمد العباسى,0.0176785263889
ye1.org,AQ Ideology,Pagerank,الجلنبط,0.00858498579589
ye1.org,AQ Ideology,Pagerank,وليد عبد الودود,0.00239228743576
ye1.org,AQ Ideology,Pagerank,ابوالعهد,0.00651033571712
ye1.org,AQ Ideology,Pagerank,الرجوع الى الحق,0.00239228743576
ye1.org,AQ Ideology,Pagerank,الأطلنطي,0.00239228743576
ye1.org,AQ Ideology,Pagerank,اليمن تاج راسي,0.00422238732534
ye1.org,AQ Ideology,Pagerank,أبو طلحه,0.00239228743576
ye1.org,AQ Ideology,Pagerank,الآمر بالمعروف,0.009836035854
ye1.org,AQ Ideology,Pagerank,hero7,0.00239228743576
